20220821	14:26:34	9a97a7aa-8a2c-479f-ac86-deef0f3a9d7c	GET	undefined	/css/style.css
20220821	14:26:38	17db7825-0908-44a5-ad29-30302674a888	GET	undefined	/
20220821	14:26:38	bf3e5a0c-dd0f-4b90-ae8a-71c45e60ddfb	GET	undefined	/css/style.css
20220821	14:39:41	46c43aac-e251-4546-ae0e-47e75081274a	GET	undefined	/employees
20220821	14:42:11	e66b8d0c-90da-4447-b0ad-7e455daba7fc	POST	undefined	/employees
20220821	14:43:13	1e326bf2-f90f-42f1-b4f0-f33aca3136c6	PUT	undefined	/employees
20220821	14:43:51	64b65667-2540-42ff-bf88-f77826b55634	DELETE	undefined	/employees
20220821	14:44:08	cf834256-820d-401a-a643-084a35e2df72	GET	undefined	/employees/1
20220821	14:44:15	4abd2d0c-095b-4bb1-9efe-f44110de911e	GET	undefined	/employees/20
20220821	18:09:47	d16b2dac-0692-4c38-8e1b-ec52328d7b60	GET	undefined	/
20220821	18:09:47	b15d68e6-69ad-4211-9f9f-e5a997460ee9	GET	undefined	/css/style.css
20220821	18:10:08	c7316cd6-91d4-4d41-8eb2-10dd72f11ef4	GET	undefined	/users
20220821	18:10:50	98c9b7d5-ad8c-48ea-8bf2-7a3e83385e7a	POST	undefined	/users
20220821	18:11:53	192776eb-9f81-48b1-b0d7-5806589b5330	PUT	undefined	/users
20220821	18:12:38	d15afb50-36bf-4d13-9cbc-3b6a0da0242a	DELETE	undefined	/users
20220821	18:12:45	4730a40b-d0f8-4f1d-bc43-38ac12117b06	DELETE	undefined	/users
20220821	18:12:47	a4c5eba3-0db8-4594-9774-ae3ed9edaef4	DELETE	undefined	/users
20220821	18:13:12	161f94d8-d786-4697-9466-4de39ae18853	GET	undefined	/users/2
20220821	18:13:16	fcc4462c-9355-4566-b343-fb196ff973cb	GET	undefined	/users/3
20220821	18:13:21	ffe8623d-a3c6-4585-9373-5b7d22463642	GET	undefined	/users/1
20220821	18:20:50	fab30436-15f2-47ab-a314-a0d0ba083e3f	GET	undefined	/
20220821	18:20:50	c60ae89f-8404-4756-9442-4d27bf107f4d	GET	undefined	/css/style.css
20220821	18:37:17	3d540625-7ea0-43e9-a442-f9405e4e1b9f	GET	undefined	/
